Apparel ID,apparel name,type,age range,size,Cloth material,Prize Range,Top wear/bottom wear/,texture,Gender,Colour,Cloth sleeves,Events,matching body type,matching face type,Skin tone Matching,Undertone Matching
APRL_011,Men's Striped Shirt,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Striped, Smooth",Male,"Blue, White",Short sleeves,"business, casual, vacation","Rectangle, Inverted Triangle, Oval, Square, Round","Fair to Light, Medium to Tan",Cool
APRL_012,Men's Check Dress Shirt,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Woven, Check pattern, Smooth",Male,"White, Light Blue",Full sleeves,"business, formal, wedding","rectangle, inverted triangle, pear","oval, square, rectangular","fair, olive",neutral
APRL_013,Women's White Shirt,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Female,White,Full sleeves,"business, casual, formal, party","hourglass, rectangle, pear","oval, round, square","fair, olive",neutral
APRL_014,Women's Shirt,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Female,Maroon/Burgundy,Full sleeves,"business, formal, casual, party","hourglass, pear, rectangle","oval, square, heart","tan, light",neutral
APRL_015,Men's Solid Shirt,Formal Shirt,Adults,M,"Cotton Blend (Smooth)",Mid-Range,Top wear,"Smooth, Woven, Matte",Male,Dark Grey,Full sleeves,"business, casual, formal, party, seasonal","Rectangle, Inverted Triangle, Hourglass","Oval, Square, Round","Tan, Light",Neutral
APRL_016,Women's Printed Tunic,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric,Matte,Embroidery/Detailing",Female,"Red/Maroon, Yellow, Green, Blue, Black","3/4 sleeves","casual, seasonal, vacation, party","Rectangle, Pear, Apple","Oval, Round, Square","Tan, Fair",Neutral
APRL_017,Women's Printed Tunic,Kurti,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Stripes, Ruffles, Matte",Female,"Mustard Yellow, White","Short sleeves (ruffle)","casual, seasonal, vacation, party","apple, pear, rectangle","oval, round, square","tan, olive",warm
APRL_018,Women's Embroidered Tunic,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Embroidered,Gathered,Flared sleeves,Matte",Female,"Navy Blue, Multicolored Embroidery","3/4 sleeves, Flared","casual,party,seasonal,vacation","rectangle,pear,apple","oval,round,square","light,dark",neutral
APRL_019,Women's Printed Sleeveless Top,Kurti,Adults,M,"Viscose Blend (Printed)",Mid-Range,Top wear,"Printed fabric, Matte, Patchwork print",Female,"Multicolored (Orange, Maroon, Grey)",Sleeveless,"casual, seasonal, vacation, party","pear, hourglass, rectangle","oval, round, square","tan, fair",warm
APRL_020,Women's Ribbed Tank Top,Tank Top,Adults,M,"Ribbed Knit",Low-Range,Top wear,"Ribbed knit, Fitted",Female,Lavender,Sleeveless,"casual, seasonal, vacation, party","Hourglass, Rectangle, Inverted Triangle","Oval, Round, Square","Fair, Tan",Cool
APRL_021,Women's Ribbed Crop Top,Tank Top,Adults,M,"Ribbed Knit",Low-Range,Top wear,"Ribbed knit, Fitted, Cropped",Female,Orange,Sleeveless,"casual, seasonal, vacation, party","hourglass, rectangle, inverted triangle","Square, Heart, Oval","Dark, Olive",Warm
APRL_022,Men's Polo Shirt,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth",Male,Maroon/Burgundy,Short sleeves,"casual, seasonal, vacation, business","rectangle, inverted triangle, oval","oval, round, square","tan, fair",neutral
APRL_023,Men's Long Sleeve Polo,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Printed graphics,Matte",Male,"Navy Blue,White",Full sleeves,"casual,seasonal,vacation,party","Rectangle, Oval, Pear","Oval, Square, Round","Tan, Light",Neutral
APRL_024,Men's Polo Shirt,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth, Ribbed",Male,"Maroon/Burgundy, Black",Short sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, square, oval, rectangular","tan, olive",neutral
APRL_025,Men's Polo Shirt,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth, Logo",Male,"White, Black",Short sleeves,"casual, seasonal, vacation, business","Rectangle, Oval, Slight Inverted Triangle","Oval, Square, Round","Olive, Fair",Neutral
APRL_026,Women's Floral Peplum Top,Peplum Top,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Peplum hem, Lightweight, Sheer",Female,"Black, Pink, Brown, White, Green (Multi)","Short sleeves (Puff)","casual, party, seasonal, vacation","Hourglass, Rectangle, Pear","Oval, Round, Square","Fair, Tan",Neutral
APRL_027,Women's Smocked Top,Peplum Top,Adults,M,"Cotton/Viscose Blend",Mid-Range,Top wear,"Smocked, Tie detail, Textured",Female,Maroon/Red,Cap sleeves,"casual, seasonal, vacation, party","rectangle, pear, hourglass","oval, round, heart","tan, fair",warm
APRL_028,Women's Printed Tunic,Peplum Top,Adults,L,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Paisley print, Gathered, Matte",Female,"Navy Blue, White, Grey",3/4 sleeves,"casual, seasonal, vacation, party","rectangle, pear, apple","oval, round, square","fair, olive",neutral
APRL_029,Women's Floral Peplum Top,Peplum Top,Adults,XXL,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Smocked, Peplum hem, Puff sleeves",Female,"Blue, White","Full sleeves (Puff)","casual,seasonal,vacation,party","hourglass, rectangle, apple","oval, round, square","fair, tan",neutral
APRL_030,Women's Floral Tunic,Peplum Top,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Gathered, Matte",Female,"Maroon/Burgundy, White",3/4 sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, hourglass","oval, round, heart","tan, olive",neutral
APRL_031,Women's Floral Set,Choli,Adults,M,"Georgette/Chiffon",Mid-Range,"Top wear, Bottom wear","Printed fabric,Floral pattern, Sheer, Layered, Pleated",Female,"Blue, Multicolored Floral","Full sleeves, Sleeveless","party, wedding, seasonal, vacation","rectangle, pear, hourglass","Oval, Round, Square","Tan, Dark",Cool
APRL_032,Girls' Floral Crop Top and Skirt Set,Choli,Kids,M,Polyester Blend,Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral/Abstract pattern, Shiny, Pleated",Female,"Navy Blue, Orange, Teal, Yellow, White",Sleeveless,"party, wedding, seasonal, vacation, casual","rectangle, pear, inverted triangle","Oval, Round, Heart","Fair, Tan",Warm
APRL_033,Girls' Lehenga Choli Set,Choli,Kids,M,"Silk Blend/Net",Mid-Range,"Top wear, Bottom wear","Embroidered, Printed, Border detail,Festive",Female,"Off-white/Cream, Pink, Gold",Sleeveless,"party, wedding, seasonal, formal","rectangle, pear, inverted triangle","oval, round, square","tan, fair",warm
APRL_034,Women's Tiered Skirt Set,Choli,Adults,M,"Georgette/Chiffon",Mid-Range,"Top wear, Bottom wear","Tiered, Lightweight, Sheer, Textured border",Female,"Terracotta/Rust","3/4 sleeves (Puff)","party, wedding, seasonal, vacation, formal","hourglass, rectangle, inverted triangle","Olive, Tan",warm
APRL_035,Men's Jeans,Skinny Jeans,Adults,L,Denim,Mid-Range,Bottom wear,"Denim, Matte, Woven",Male,Black,"Oval, Square, Round","casual, party, seasonal, vacation","Rectangle, Inverted Triangle","Fair, Olive",Neutral
APRL_036,Men's Jeans/Trousers,Skinny Jeans,Adults,L,"Denim/Cotton Blend",Mid-Range,Bottom wear,"Denim/Woven, Matte, Textured",Male,"White/Off-white","Oval, Square, Rectangle","casual, seasonal, vacation","rectangle, inverted triangle","Olive, Fair",Neutral
APRL_037,Women's Skinny Jeans,Skinny Jeans,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Fitted",Female,Light Blue,N/A,"casual, seasonal, vacation, party","rectangle, hourglass, pear","oval, round, square","olive, fair",neutral
APRL_038,Women's Skinny Jeans,Skinny Jeans,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Fitted",Female,Blue,N/A,"casual, seasonal, vacation, party","Hourglass, Rectangle, Pear","Oval, Round, Square","Tan, Fair",Neutral
APRL_039,Men's Chinos,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Matte",Male,"Brown/Khaki","Square, Oval, Rectangle","casual, business, seasonal, vacation","Rectangle, Inverted Triangle, Oval","Tan, Olive",Warm
APRL_040,Women's Elastic Trousers,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven,Smooth,Elastic waist",Female,"Beige/Khaki",N/A,"casual, seasonal, vacation","pear, rectangle, apple","oval, round","tan, light",neutral
APRL_041,Women's Elastic Trousers,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Elastic waist",Female,Pink,"casual, seasonal, vacation","Pear, Apple, Rectangle","Oval, Round, Square","Fair, Dark",Cool
APRL_042,Women's Palazzo Pants,Straight-Leg Trousers,Adults,M,"Knit/Poly Blend",Mid-Range,Bottom wear,"Knit/Woven,Wide Leg,Striped",Female,"Black,White",N/A,"casual,seasonal,vacation,party","pear, hourglass, rectangle","oval, round, square","fair, olive",neutral
APRL_043,Women's Trousers,Straight-Leg Trousers,Adults,M,"Cotton/Poly Blend",Mid-Range,Bottom wear,"Woven, Smooth, Matte",Female,Dark Grey,N/A,"business, casual, formal, seasonal","hourglass, rectangle, pear","oval, round, square","Fair, Dark",Cool
APRL_044,Men's Chinos,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Matte",Male,Black,N/A,"casual, business, seasonal, vacation","rectangle, inverted triangle, oval","oval, square, round","dark, light",neutral
APRL_045,Women's Palazzo Pants,Palazzo Pants,Adults,M,Viscose Blend,Mid-Range,Bottom wear,"Smooth, Flowy, Wide Leg, Drawstring",Female,Pink,N/A,"casual, seasonal, vacation, party","rectangle, pear, inverted triangle","oval, round, heart","fair, tan",neutral
APRL_046,Women's Palazzo Pants,Palazzo Pants,Adults,M,Linen Blend,Mid-Range,Bottom wear,"Textured, Wide Leg, Pleated front",Female,"Beige/Khaki",N/A,"casual, seasonal, vacation, business","pear, rectangle, inverted triangle","oval, round, square","tan, fair",warm
APRL_047,Women's Wide Leg Jeans,Palazzo Pants,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Wide Leg, Elastic waist",Female,Blue,N/A,"casual, seasonal, vacation, party","pear, rectangle, inverted triangle","oval, round, square","dark, light",neutral
APRL_048,Women's Pencil Skirt,Pencil Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Fitted,Knee-length",Female,Black,N/A,"business, formal, party, seasonal","hourglass, rectangle, pear","oval, round","tan, fair",neutral
APRL_049,Women's Pencil Skirt,Pencil Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Fitted, Knee-length",Female,Black,N/A,"business, formal, party, seasonal","hourglass, pear, rectangle","oval, round, square","fair, dark",neutral
APRL_050,Women's Mini Skirt,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Houndstooth pattern,Woven,Mini",Female,"Black,White",N/A,"casual, party, seasonal","hourglass, pear, rectangle","oval, heart, square","fair, olive",neutral
APRL_051,Women's Denim Mini Skirt,Mini Skirt,Adults,XL,Denim,Mid-Range,Bottom wear,"Denim, Fitted, Mini",Female,Dark Blue,N/A,"casual, seasonal, vacation","hourglass, pear, rectangle","oval, round, square","fair, olive",neutral
APRL_052,Women's Denim Midi Skirt,Mini Skirt,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Button front, Midi",Female,Light Blue,"oval, round, heart","casual, seasonal, vacation","pear, hourglass, apple","fair, olive",cool
APRL_053,Women's Mini Skirt,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte,Mini",Female,Pink,N/A,"casual, party, seasonal, vacation","hourglass, pear, rectangle","oval, round, heart","dark, fair",neutral
APRL_054,Women's Pleated Mini Skirt,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Pleated, Matte, Mini",Female,Navy Blue,"oval, round, heart","casual, party, seasonal, vacation","pear, rectangle, hourglass","fair, olive",cool
APRL_055,Women's Satin Mini Skort,Mini Skirt,Adults,M,"Satin/Silk Blend",Mid-Range,Bottom wear,"Shiny,Smooth,Wrap-style,Mini",Female,Black,N/A,"party, casual, seasonal","hourglass, pear, rectangle","Oval, Round, Square","fair, tan",neutral
APRL_056,Women's Denim Mini Skirt,Mini Skirt,Adults,M,Denim,Mid-Range,Bottom wear,"Denim,Fitted,Mini",Female,Light Blue,N/A,"casual, seasonal, vacation","rectangle, hourglass, pear","oval, round, square","fair, tan",neutral
APRL_057,Women's Ribbed Mini Skort,Mini Skirt,Adults,XL,"Ribbed Knit/Woven",Mid-Range,Bottom wear,"Ribbed texture, Wrap-style, Mini",Female,Black,N/A,"casual, party, seasonal, vacation","hourglass, pear, rectangle","Oval, Round, Square","tan, light",warm
APRL_058,Men's Joggers,Joggers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Matte, Smooth, Elasticated waistband, Cuffed",Male,"Beige/Cream",N/A,"casual, seasonal, vacation","rectangle, apple, pear","oval, round, square","dark, light",neutral
APRL_059,Kids' Joggers,Joggers,Kids,M,Poly Blend,Mid-Range,Bottom wear,"Knit, Printed graphic, Elasticated waistband, Cuffed",Unisex,"Red,Pink/Orange",N/A,"casual, seasonal, vacation","rectangle, apple, pear","oval, round, square","fair, dark",neutral
APRL_060,Men's Joggers,Joggers,Adults,L,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Drawstring, Cuffed",Male,Black,N/A,"casual, seasonal, vacation, party","rectangle, pear, apple","oval, round","Tan, Fair",Neutral
APRL_061,Women's Cargo Joggers,Joggers,Adults,M,"Denim/Cotton Blend",Mid-Range,Bottom wear,"Denim/Woven, Matte, Elasticated waistband, Cuffed, Pockets",Female,Blue,N/A,"casual, seasonal, vacation","Rectangle, Apple, Pear","Oval, Round, Square","Tan, Light",Neutral
APRL_062,Men's Sports Shorts,Shorts,Adults,L,Poly Blend,Low-Range,Bottom wear,"Smooth, Striped detail, Elasticated waistband",Male,"Black, White",N/A,"casual, seasonal, vacation","rectangle, inverted triangle, pear","oval, round, square","tan, olive",neutral
APRL_063,Men's Cargo Shorts,Shorts,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Knit/Woven, Pockets, Drawstring, Elasticated waistband",Male,Blue,N/A,"casual, seasonal, vacation","rectangle, inverted triangle, apple","oval, round, square","Dark, Fair",neutral
APRL_064,Women's Casual Shorts,Shorts,Adults,M,Cotton Blend,Low-Range,Bottom wear,"Textured/Woven, Elasticated waistband, Drawstring",Female,"Purple/Lavender",N/A,"casual,seasonal,vacation","Pear, Rectangle, Hourglass","Oval, Round, Heart","Fair, Light",Cool
APRL_065,Men's Casual Shorts,Shorts,Adults,L,Cotton Blend,Low-Range,Bottom wear,"Smooth, Matte, Elasticated waistband",Male,"Khaki/Green",N/A,"casual, seasonal, vacation","Rectangle,Inverted Triangle,Pear","Oval,Round,Square","Tan,Olive",Warm
APRL_066,Women's Printed Midi Dress,A-Line Dress,Adults,M,Viscose Blend,Mid-Range,"Top wear, Bottom wear","Printed, Tiered skirt, Gathered waist, Flowy",Female,"Multicolored (Navy, Red, Pink, Brown, Blue, Green)",3/4 sleeves,"casual, seasonal, vacation, party","Pear, Rectangle, Apple","Oval, Round, Heart","Fair, Olive",Neutral
APRL_067,Women's Button-Front Midi Dress,A-Line Dress,Adults,M,Linen Blend,Mid-Range,"Top wear, Bottom wear","Textured/Woven, Button front, A-line skirt",Female,"Rust/Terracotta",Sleeveless,"casual, seasonal, vacation","Oval, Round, Square","Pear, Apple, Hourglass","Tan, Olive",Warm
APRL_068,Women's Printed Dress,A-Line Dress,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Printed, Tiered skirt, Belted waist",Female,"Blue, White (Printed)",3/4 sleeves,"casual, seasonal, vacation, party","pear, hourglass, rectangle","oval, round, heart","fair, tan",cool
APRL_069,Women's Embroidered Dress,A-Line Dress,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Embroidered, Square neck, Knee-length",Female,"Black, Multicolored Embroidery",Elbow sleeves,"casual, seasonal, party","Pear, Apple, Rectangle","Oval, Round, Heart","Fair, Olive",Neutral
APRL_070,Women's Printed Maxi Dress,Maxi Dress,Adults,M,Viscose Blend,Mid-Range,"Top wear, Bottom wear","Printed, Smocked/Gathered waist, Flowy, Maxi-length",Female,"Multicolored (White, Green, Blue, Yellow, Red, Black)",Sleeveless,"casual, seasonal, vacation, party","Pear, Apple, Rectangle","Oval, Round, Square","Fair, Olive",Neutral
APRL_071,Women's Button-Front Maxi Dress,Maxi Dress,Adults,M,Viscose Blend,Mid-Range,"Top wear, Bottom wear","Printed,Button front,Maxi-length",Female,"Navy Blue,Multicolored Print",Sleeveless,"casual,seasonal,vacation","Pear, Hourglass, Apple","Oval, Round, Square","Deep, Olive",Cool
APRL_072,Women's Halter Neck Midi Dress,Maxi Dress,Adults,M,"Satin/Silk Blend",High-Range,"Top wear, Bottom wear","Shiny, Smooth, Flowy, Halter neck, Midi-length",Female,"Blue/Teal",Sleeveless,"formal, party, wedding","Inverted Triangle, Hourglass, Rectangle","Oval, Round, Heart","Tan, Fair",Neutral
APRL_073,Women's Tiered Maxi Dress,Maxi Dress,Adults,M,"Cotton/Poly Blend",Mid-Range,"Top wear, Bottom wear","Textured, Tiered skirt, Button front, Puffed sleeves, Maxi-length",Female,Pink,Full sleeves,"casual, seasonal, vacation, party","Pear, Rectangle, Hourglass","Oval, Round, Heart","Tan, Fair",Neutral
APRL_074,Women's Floral Wrap Dress,Wrap Dress,Adults,M,Viscose Blend,Mid-Range,"Top wear, Bottom wear","Printed, Wrap style, Ruffled hem, Flowy, Midi-length",Female,"Purple, Beige (Printed)",Short sleeves,"casual, seasonal, vacation, party","hourglass, rectangle, pear","oval, round, heart","tan, olive",cool
APRL_075,Women's Wrap Mini Dress,Wrap Dress,Adults,M,Knit Blend,Low-Range,"Top wear, Bottom wear","Knit, Fitted, Wrap style, Mini-length",Female,Black,Short sleeves,"casual, party","hourglass, rectangle, inverted triangle","oval, round, square","fair, dark",neutral
APRL_076,Women's Floral Midi Dress,Wrap Dress,Adults,M,Viscose Blend,Mid-Range,Dress,"Printed fabric,Floral pattern, Drawstring waist, Flowy, Matte",Female,"Navy Blue, Yellow, White, Green (Printed)",Elbow sleeves,"casual, seasonal, vacation, party","Rectangle, Pear, Hourglass","Round, Square, Heart","Fair, Olive",Cool
APRL_077,Women's Floral Midi Dress,Wrap Dress,Adults,M,"Georgette/Chiffon",Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral pattern, Flowy, Sheer layer",Female,"Yellow, Multicolored Print",Short sleeves,"casual, seasonal, vacation, party","hourglass, pear, apple","oval, round, heart","tan, olive",warm
APRL_078,Women's Fitted Midi Dress,Bodycon Dress,Adults,M,Poly Blend,Mid-Range,"Top wear, Bottom wear","Smooth, Knit,Fitted,Square neck",Female,"Teal Green",Short sleeves,"business, formal, party, seasonal","hourglass, rectangle, pear","round, oval, heart","fair, olive",neutral
APRL_079,Women's Ruched Bodycon Dress,Bodycon Dress,Adults,M,Knit Blend,Mid-Range,"Top wear, Bottom wear","Ruched,Fitted,Knit",Female,Black,Sleeveless,"party, formal, wedding, seasonal","hourglass, rectangle, pear","oval, rectangle, round","fair, ebony",neutral
APRL_080,Women's Mock Neck Midi Dress,Bodycon Dress,Adults,M,Knit Blend,Mid-Range,"Top wear, Bottom wear","Knit, Smooth, Matte,Mock neck",Female,"Brown/Rust",Elbow sleeves,"casual, business, seasonal","hourglass, pear, rectangle","oval, long, heart","ebony, tan",warm
APRL_081,Women's Smocked Floral Dress,Bodycon Dress,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smocked bodice, Printed fabric, Floral pattern, Flowy, Ruffled hem",Female,"Blue, White (Printed)",Short sleeves,"casual, seasonal, vacation, party","apple, pear, hourglass","oval, round, square","fair, tan",neutral
APRL_082,Men's Denim Jacket,Denim Jacket,Adults,L,Denim,Mid-Range,Top wear,"Denim, Woven, Textured, Metal buttons, Pockets",Male,"Light Blue Denim",Full sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, apple","oval, round, square","fair, olive",neutral
APRL_083,Men's Denim Jacket,Denim Jacket,Adults,L,Denim,Mid-Range,Top wear,"Denim, Woven, Textured, Contrast stitching, Metal buttons, Pockets",Male,"Dark Blue Denim",Full sleeves,"casual, seasonal, vacation, party","Inverted Triangle, Rectangle, Apple","Oval, Square, Round","Dark, Fair",Neutral
APRL_084,Women's Denim Kimono Jacket,Denim Jacket,Adults,M,Denim,Mid-Range,Top wear,"Denim,Woven,Belted,Wrap style,Textured",Female,"Blue Denim",3/4 sleeves,"casual,seasonal,vacation","hourglass, rectangle, pear","oval, round, square","tan, light",neutral
APRL_085,Men's Black Denim Jacket,Denim Jacket,Adults,L,Denim,Mid-Range,Top wear,"Denim, Woven, Textured, Metal buttons, Pockets",Male,"Black Denim",Full sleeves,"casual, seasonal, vacation, party","Rectangle, Inverted Triangle, Pear, Oval, Round, Square","Tan, Fair",Neutral
APRL_086,Men's Black Blazer,Blazer,Adults,L,Poly Blend,Mid-Range,Top wear,"Smooth,Woven,Matte",Male,Black,Full sleeves,"business, formal, party, wedding, seasonal","rectangle, inverted triangle, oval","square, oval, rectangle","dark, tan",neutral
APRL_087,Men's Cream Blazer,Blazer,Adults,L,"Cotton Blend/Linen Blend",Mid-Range,Top wear,"Textured weave, Matte",Male,"Cream/Off-white",Full sleeves,"business, formal, party, wedding, seasonal, vacation","rectangle, apple, pear","round, square, rectangular","tan, olive",warm
APRL_088,Men's Checked Blazer,Blazer,Adults,L,Poly Blend,Mid-Range,Top wear,"Woven, Check pattern, Smooth, Matte",Male,"Light Blue, White (Checked)",Full sleeves,"business, casual, formal, party, seasonal","Inverted Triangle, Rectangle, Oval","Oval, Square, Round","Fair, Olive",Cool
APRL_089,Men's Light Grey Suit Jacket,Blazer,Adults,L,"Poly Blend/Wool Blend",High-Range,Top wear,"Smooth, Woven, Matte",Male,Light Grey,Full sleeves,"business, formal, wedding, party, seasonal","rectangle, inverted triangle, apple","oval, square, rectangular","fair, olive",cool
APRL_090,Men's Grey Blazer,Blazer,Adults,L,"Poly Blend/Wool Blend",Mid-Range,Top wear,"Textured weave,Matte",Male,Grey,Full sleeves,"business, casual, formal, seasonal","rectangle, inverted triangle, apple","oval, square, rectangle","fair, dark",cool
APRL_091,Women's Coat,Trench Coat,Adults,M,Wool Blend,High-Range,Top wear,"Textured, Matte, Structured",Female,"Black, Gold",Full sleeves,"business, formal, party, seasonal","rectangle, inverted triangle, hourglass","oval, round, square","fair, olive",neutral
APRL_092,Women's Belted Coat,Trench Coat,Adults,M,Wool Blend,High-Range,Top wear,"Textured, Matte, Structured, Belted",Female,"Beige/Khaki",Full sleeves,"business, formal, seasonal, casual","hourglass, rectangle, pear","oval, round, square","fair, light",warm
APRL_093,Women's Open Front Coatigan,Trench Coat,Adults,M,Knit Blend,Mid-Range,Top wear,"Knit, Textured, Open front",Female,"Light Grey",Full sleeves,"casual, seasonal, business","rectangle, inverted triangle, apple","oval, round, square","light, tan",neutral
APRL_094,Women's Textured Coat,Trench Coat,Adults,M,"Bouclé/Textured Blend",High-Range,Top wear,"Textured, Bouclé, Matte",Female,Red,Full sleeves,"party, formal, seasonal, wedding","rectangle, hourglass, inverted triangle","oval, round, square","deep, fair",neutral
APRL_095,Men's Bomber Jacket,Trench Coat,Adults,L,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Ribbed cuffs/hem",Male,Red,Full sleeves,"casual, seasonal, vacation","Rectangle, Pear, Inverted Triangle","Oval, Round, Square","Fair, Dark",Neutral
APRL_096,Men's Faux Suede Bomber Jacket,Bomber Jacket,Adults,L,"Faux Suede",Mid-Range,Top wear,"Textured (Suede-like), Matte, Ribbed cuffs/hem",Male,"Navy Blue",Full sleeves,"casual, seasonal, party","Rectangle, Apple, Pear","Oval, Round, Square","Fair, Dark",Cool
APRL_097,Women's Windbreaker Jacket,Bomber Jacket,Adults,M,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Lightweight, Hooded, Color block",Female,"Black, Grey, Pink, White",Full sleeves,"casual, seasonal, vacation","Rectangle, Pear, Apple","Oval, Round, Square","Fair, Tan",Neutral
APRL_098,Men's Bomber Jacket,Bomber Jacket,Adults,L,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Ribbed collar/cuffs/hem",Male,White,Full sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, rectangular","oval, square, diamond","dark, fair",neutral
