Apparel ID,apparel name,type,age range,size,Cloth material,Prize Range,Top wear/bottom wear/,texture,Gender,Colour,Cloth sleeves,Events,matching body type,matching face type,Skin tone Matching,Undertone Matching
APRL_106,Men's Pullover Hoodie,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Soft, Hooded, Kangaroo pocket, Embroidered text",Male,Beige,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_107,Women's Sports Bra/Crop Top,Sports Bra,Adults,M,Poly Blend,Mid-Range,Top wear,"Knit, Smooth, Fitted, Zipper detail, High neck",Female,Sage Green,Sleeveless,sport,"hourglass, rectangle, inverted triangle","oval, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_108,Women's Sports Bra,Sports Bra,Adults,M,Poly Blend,Mid-Range,Top wear,"Knit, Smooth, Fitted, Mesh detail",Female,Black,Sleeveless,sport,"hourglass, rectangle, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_109,Women's Sports Bra/Crop Top,Sports Bra,Adults,M,Poly Blend,Mid-Range,Top wear,"Knit, Smooth, Fitted, Zipper detail, Straps",Female,Rust Orange,Sleeveless,sport,"hourglass, rectangle, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_110,Men's Workout T-Shirt,Gym T-Shirt,Adults,L,Poly Blend,Mid-Range,Top wear,"Knit, Printed pattern, Smooth, Lightweight",Male,"Grey, Dark Grey",Short sleeves,sport,"rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_111,Women's Workout T-Shirt,Gym T-Shirt,Adults,M,Poly Blend,Mid-Range,Top wear,"Knit, Textured, Smooth, Lightweight",Female,Navy Blue,Short sleeves,sport,"rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_112,Men's Long Sleeve Workout Top,Gym T-Shirt,Adults,L,Poly Blend,Mid-Range,Top wear,"Knit, Textured, Smooth, Lightweight",Male,"White, Grey detail",Full sleeves,sport,"rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_113,Men's Workout T-Shirt,Gym T-Shirt,Adults,L,Poly Blend,Mid-Range,Top wear,"Knit, Textured, Smooth, Lightweight",Male,Maroon/Burgundy,Short sleeves,sport,"rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_114,Women's Long Sleeve Workout Top,Gym T-Shirt,Adults,M,Poly Blend,Mid-Range,Top wear,"Knit, Smooth, Fitted, Lightweight",Female,Maroon/Burgundy,Full sleeves,sport,"hourglass, rectangle, inverted triangle, pear, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_115,Women's Silk Saree,Saree,Adults,L,Silk,High-Range,"Top wear, Bottom wear","Woven, Shiny, Brocade border, Patterned",Female,"Dark Green, Silver",N/A,"wedding, formal, party, seasonal","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_116,Women's Tissue Silk Saree,Saree,Adults,M,Tissue Silk,High-Range,"Top wear, Bottom wear","Shiny, Crinkled texture, Embellished border",Female,"Golden, Olive, Green",N/A,"wedding, formal, party, seasonal","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","warm, neutral"
APRL_117,Women's Embroidered Saree,Saree,Adults,M,Silk Blend/Georgette,High-Range,"Top wear, Bottom wear","Smooth, Embroidered, Textured",Female,"Light Purple, Silver",Full sleeves,"wedding, formal, party, seasonal","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_118,Women's Embellished Saree,Saree,Adults,M,Silk Blend/Georgette,High-Range,"Top wear, Bottom wear","Smooth, Embellished border, Flowy",Female,"Red, Maroon",Elbow sleeves,"wedding, formal, party, seasonal","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_119,Women's Ombre Saree,Saree,Adults,M,Chiffon/Georgette,Mid-Range,"Top wear, Bottom wear","Ombre effect, Embellished border, Flowy",Female,"Orange, Pink",N/A,"wedding, party, seasonal, vacation","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_120,Girls' Floral Lehenga Set,Lehenga,Kids,M,Organza/Silk Blend,Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral pattern, Sheer, Flared sleeves",Female,"Black, Brown, Pink, Gold",Short/Flared,"party, wedding, seasonal, formal","rectangle, pear, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_121,Women's Pleated Lehenga Set,Lehenga,Adults,M,Poly Blend/Metallic,High-Range,"Top wear, Bottom wear","Pleated, Shiny, Ombre effect, Textured",Female,"Purple, Gold",Sleeveless,"wedding, formal, party, seasonal","hourglass, rectangle, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_122,Girls' Embroidered Lehenga Set,Lehenga,Kids,M,Silk Blend,High-Range,"Top wear, Bottom wear","Embroidered, Printed, Festive tassels, Shiny",Female,"Pink, Gold",Sleeveless,"party, wedding, seasonal, formal","rectangle, pear, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_123,Women's Salwar Suit Set,Salwar Kameez,Adults,M,Silk Blend,High-Range,"Top wear, Bottom wear","Embroidered, Printed, Sheer dupatta, Textured",Female,"Salmon Pink, Gold, Green, Red (Embroidery)",Full sleeves,"wedding, formal, party, seasonal","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_124,Men's Sequined Sherwani Set,Sherwani,Adults,L,Poly Blend,High-Range,"Top wear, Bottom wear","Sequined, Shiny, Matte, Structured",Male,Black,Full sleeves,"wedding, formal, party","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_125,Men's Embroidered Sherwani Set,Sherwani,Adults,L,Silk Blend/Poly Blend,High-Range,"Top wear, Bottom wear","Embroidered, Patterned, Matte, Structured",Male,Blue,Full sleeves,"wedding, formal, party, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_126,Men's Embroidered Sherwani Set,Sherwani,Adults,L,Silk Blend/Poly Blend,High-Range,"Top wear, Bottom wear","Embroidered, Patterned, Matte, Structured",Male,Cream/Off-white,Full sleeves,"wedding, formal, party, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral"
APRL_127,Men's Printed Sherwani Set,Sherwani,Adults,L,Silk Blend/Poly Blend,High-Range,"Top wear, Bottom wear","Printed, Patterned, Matte, Structured",Male,"Light Blue, White",Full sleeves,"wedding, formal, party, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_128,Men's Embroidered Sherwani Set,Sherwani,Adults,L,Silk Blend/Poly Blend,High-Range,"Top wear, Bottom wear","Embroidered, Mirror work, Matte, Structured",Male,"Purple, Silver",Full sleeves,"wedding, formal, party, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_129,Women's Midi Dress,Gown,Adults,M,Poly Blend/Satin Blend,Mid-Range,"Top wear, Bottom wear","Smooth, Matte/Slight Sheen, Puff sleeves",Female,Red,Short sleeves (Puff),"party, wedding, formal, seasonal, vacation","hourglass, rectangle, inverted triangle, pear, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_130,Women's Floral Maxi Dress,Gown,Adults,M,Georgette/Poly Blend,Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral pattern, Tiered skirt, Flowy",Female,"Yellow, Orange (Printed)",Sleeveless,"casual, seasonal, vacation, party","rectangle, pear, apple, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","warm, neutral, cool"
APRL_131,Women's Dotted Midi Dress,Gown,Adults,M,Chiffon/Poly Blend,Mid-Range,"Top wear, Bottom wear","Textured dots, Ruffled sleeves, Flowy",Female,Pink,Cap sleeves (Ruffle),"casual, seasonal, vacation, party","pear, apple, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
APRL_132,Women's Maxi Dress,Gown,Adults,M,Poly Blend/Knit Blend,Mid-Range,"Top wear, Bottom wear","Smooth, Matte, Side slit",Female,Black,Sleeveless,"formal, party, wedding, seasonal","hourglass, rectangle, inverted triangle","oval, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_133,Women's Pleated Maxi Dress,Gown,Adults,XXL,Poly Blend,Mid-Range,"Top wear, Bottom wear","Pleated, Ombre effect, Flowy",Female,"Blue, Green, White (Ombre)",Cap sleeves,"casual, seasonal, vacation, party","apple, pear, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
APRL_134,Men's Floral Blazer,Gown,Adults,L,Poly Blend/Jacquard,High-Range,Top wear,"Woven pattern, Floral texture, Shiny lapel",Male,Black,Full sleeves,"formal, party, wedding","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_135,Men's Textured Blazer,Tuxedo,Adults,L,Linen Blend/Cotton Blend,Mid-Range,Top wear,"Textured weave, Matte",Male,"Cream/Off-white, Black flecks",Full sleeves,"business, casual, formal, party, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral"
APRL_136,Men's Shawl Lapel Blazer,Tuxedo,Adults,L,Poly Blend/Silk Blend,High-Range,Top wear,"Smooth, Matte, Satin lapel",Male,"Maroon/Burgundy, Black",Full sleeves,"formal, party, wedding","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_137,Men's Velvet Blazer,Tuxedo,Adults,L,"Velvet, Poly Blend",High-Range,Top wear,"Velvet, Soft, Shiny lapel",Male,"Dark Green, Black",Full sleeves,"formal, party, wedding, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
APRL_138,Men's Shawl Lapel Blazer,Tuxedo,Adults,L,Poly Blend,High-Range,Top wear,"Smooth, Matte, Satin lapel",Male,"Blue, Black",Full sleeves,"formal, party, wedding","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
APRL_139,Men's Bandhgala Jacket,Tuxedo,Adults,L,Silk Blend/Jacquard,High-Range,Top wear,"Woven pattern, Textured, Matte",Male,"Maroon/Burgundy, Black",Full sleeves,"wedding, formal, party, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_140,Girls' Crop Top and Skirt Set,Co-ord Set,Kids,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Textured stripes (top), Printed fabric (skirt), Knot detail",Female,"White (Top), Red, Multicolored (Skirt)",Sleeveless,"casual, seasonal, vacation, party","rectangle, pear, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
