Apparel ID,Apparel Name,Image Assets,Image URLs,Type,Age Range,Size,Cloth Material,Prize Range,Top Wear or bottom Wear,Texture,Gender,Colour,Cloth Sleeves,Events,Matching Body Type,Matching Face Type,Skin tone Matching,Undertone Matching
APRL_011,Men's Striped Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_011/image_1.jpg,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Striped, Smooth",male,"Blue, White",Short sleeves,"business, casual, vacation","rectangle, Inverted Triangle","oval, square, round","Fair, Light, Medium, Tan",Cool
APRL_012,Men's Check Dress Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_012/image_1.jpg,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Woven, Check pattern, Smooth",male,"White, Light Blue",full sleeves,"business, formal, wedding","rectangle, inverted triangle, pear","oval, square, rectangle","fair, olive",neutral
APRL_013,Women's White Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_013/image_1.jpg,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",female,White,full sleeves,"business, casual, formal, party","hourglass, rectangle, pear","oval, round, square","fair, olive",neutral
APRL_014,Women's Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_014/image_1.jpg,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",female,Maroon/Burgundy,full sleeves,"business, formal, casual, party","hourglass, pear, rectangle","oval, square, heart","tan, light",neutral
APRL_015,Men's Solid Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_015/image_1.jpg,Formal Shirt,Adults,M,Cotton Blend (Smooth),Mid-Range,Top wear,"Smooth, Woven, Matte",male,Dark Grey,full sleeves,"business, casual, formal, party, seasonal","rectangle, Inverted Triangle, hourglass","oval, square, round","Tan, Light",Neutral
APRL_016,Women's Printed Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_016/image_1.jpg,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte, Embroidery/Detailing",female,"Red/Maroon, Yellow, Green, Blue, Black",3/4 sleeves,"casual, seasonal, vacation, party","rectangle, pear, apple","oval, round, square","Tan, Fair",Neutral
APRL_017,Women's Printed Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_017/image_1.jpg,Kurti,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Stripes, Ruffles, Matte",female,"Mustard Yellow, White",Short sleeves (ruffle),"casual, seasonal, vacation, party","apple, pear, rectangle","oval, round, square","tan, olive",warm
APRL_018,Women's Embroidered Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_018/image_1.jpg,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Embroidered, Gathered, Flared sleeves, Matte",female,"Navy Blue, Multicolored Embroidery","3/4 sleeves, Flared","casual, party, seasonal, vacation","rectangle,pear,apple","oval,round,square","light,dark",neutral
APRL_019,Women's Printed Sleeveless Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_019/image_1.jpg,Kurti,Adults,M,Viscose Blend (Printed),Mid-Range,Top wear,"Printed fabric, Matte, Patchwork print",female,"Multicolored (Orange, Maroon, Grey)",Sleeveless,"casual, seasonal, vacation, party","pear, hourglass, rectangle","oval, round, square","tan, fair",warm
APRL_020,Women's Ribbed Tank Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_020/image_1.jpg,Tank Top,Adults,M,Ribbed Knit,Low-Range,Top wear,"Ribbed knit, Fitted",female,Lavender,Sleeveless,"casual, seasonal, vacation, party","hourglass, rectangle, Inverted Triangle","oval, round, square","Fair, Tan",Cool
APRL_021,Women's Ribbed Crop Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_021/image_1.jpg,Tank Top,Adults,M,Ribbed Knit,Low-Range,Top wear,"Ribbed knit, Fitted, Cropped",female,Orange,Sleeveless,"casual, seasonal, vacation, party","hourglass, rectangle, inverted triangle","square, heart, oval","Dark, Olive",Warm
APRL_022,Men's Polo Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_022/image_1.jpg,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth",male,Maroon/Burgundy,Short sleeves,"casual, seasonal, vacation, business","rectangle, inverted triangle, oval","oval, round, square","tan, fair",neutral
APRL_023,Men's Long Sleeve Polo,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_023/image_1.jpg,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Printed graphics, Matte",male,"Navy Blue, White",full sleeves,"casual, seasonal, vacation, party","rectangle, oval, pear","oval, square, round","Tan, Light",Neutral
APRL_024,Men's Polo Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_024/image_1.jpg,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth, Ribbed",male,"Maroon/Burgundy, Black",Short sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle","square, oval, rectangle","tan, olive",neutral
APRL_025,Men's Polo Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_025/image_1.jpg,Polo Shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth, Logo",male,"White, Black",Short sleeves,"casual, seasonal, vacation, business","rectangle, oval, Slight Inverted Triangle","oval, square, round","Olive, Fair",Neutral
APRL_026,Women's Floral Peplum Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_026/image_1.jpg,Peplum Top,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Peplum hem, Lightweight, Sheer",female,"Black, Pink, Brown, White, Green (Multi)",Short sleeves (Puff),"casual, party, seasonal, vacation","hourglass, rectangle, pear","oval, round, square","Fair, Tan",Neutral
APRL_027,Women's Smocked Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_027/image_1.jpg,Peplum Top,Adults,M,Cotton/Viscose Blend,Mid-Range,Top wear,"Smocked, Tie detail, Textured",female,Maroon/Red,Cap sleeves,"casual, seasonal, vacation, party","rectangle, pear, hourglass","oval, round, heart","tan, fair",warm
APRL_028,Women's Printed Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_028/image_1.jpg,Peplum Top,Adults,L,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Paisley print, Gathered, Matte",female,"Navy Blue, White, Grey",3/4 sleeves,"casual, seasonal, vacation, party","rectangle, pear, apple","oval, round, square","fair, olive",neutral
APRL_029,Women's Floral Peplum Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_029/image_1.jpg,Peplum Top,Adults,XXL,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Smocked, Peplum hem, Puff sleeves",female,"Blue, White",full sleeves (Puff),"casual, seasonal, vacation, party","hourglass, rectangle, apple","oval, round, square","fair, tan",neutral
APRL_030,Women's Floral Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_030/image_1.jpg,Peplum Top,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Floral pattern, Gathered, Matte",female,"Maroon/Burgundy, White",3/4 sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, hourglass","oval, round, heart","tan, olive",neutral
APRL_031,Women's Floral Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_031/image_1.jpg,Choli,Adults,M,Georgette/Chiffon,Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral pattern, Sheer, Layered, Pleated",female,"Blue, Multicolored Floral","full sleeves, Sleeveless","party, wedding, seasonal, vacation","rectangle, pear, hourglass","oval, round, square","Tan, Dark",Cool
APRL_032,Girls' Floral Crop Top and Skirt Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_032/image_1.jpg,Choli,Kids,M,Polyester Blend,Mid-Range,"Top wear, Bottom wear","Printed fabric, Floral/Abstract pattern, Shiny, Pleated",female,"Navy Blue, Orange, Teal, Yellow, White",Sleeveless,"party, wedding, seasonal, vacation, casual","rectangle, pear, inverted triangle","oval, round, heart","Fair, Tan",Warm
APRL_033,Girls' Lehenga Choli Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_033/image_1.jpg,Choli,Kids,M,Silk Blend/Net,Mid-Range,"Top wear, Bottom wear","Embroidered, Printed, Border detail, Festive",female,"Off-white/Cream, Pink, Gold",Sleeveless,"party, wedding, seasonal, formal","rectangle, pear, inverted triangle","oval, round, square","tan, fair",warm
APRL_034,Women's Tiered Skirt Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_034/image_1.jpg,Choli,Adults,M,Georgette/Chiffon,Mid-Range,"Top wear, Bottom wear","Tiered, Lightweight, Sheer, Textured border",female,Terracotta/Rust,3/4 sleeves (Puff),"party, wedding, seasonal, vacation, formal","hourglass, rectangle, inverted triangle","oval, round, square","Olive, Tan",warm
APRL_035,Men's Jeans,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_035/image_1.jpg,Skinny Jeans,Adults,L,Denim,Mid-Range,Bottom wear,"Denim, Matte, Woven",male,Black,N/A,"casual, party, seasonal, vacation","rectangle, Inverted Triangle","oval, square, round","Fair, Olive",Neutral
APRL_036,Men's Jeans/Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_036/image_1.jpg,Skinny Jeans,Adults,L,Denim/Cotton Blend,Mid-Range,Bottom wear,"Denim/Woven, Matte, Textured",male,White/Off-white,N/A,"casual, seasonal, vacation","rectangle, inverted triangle","oval, square, rectangle","Olive, Fair",Neutral
APRL_037,Women's Skinny Jeans,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_037/image_1.jpg,Skinny Jeans,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Fitted",female,Light Blue,N/A,"casual, seasonal, vacation, party","rectangle, hourglass, pear","oval, round, square","olive, fair",neutral
APRL_038,Women's Skinny Jeans,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_038/image_1.jpg,Skinny Jeans,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Fitted",female,Blue,N/A,"casual, seasonal, vacation, party","hourglass, rectangle, pear","oval, round, square","Tan, Fair",Neutral
APRL_039,Men's Chinos,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_039/image_1.jpg,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Matte",male,Brown/Khaki,N/A,"casual, business, seasonal, vacation","pear, apple, rectangle","square, oval","Tan, Olive",Warm
APRL_040,Women's Elastic Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_040/image_1.jpg,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Elastic waist",female,Beige/Khaki,N/A,"casual, seasonal, vacation","pear, rectangle, apple","oval, round","tan, light",neutral
APRL_041,Women's Elastic Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_041/image_1.jpg,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Elastic waist",female,Pink,N/A,"casual, seasonal, vacation","pear, apple, rectangle","oval, round, square","Fair, Dark",Cool
APRL_042,Women's Palazzo Pants,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_042/image_1.jpg,Straight-Leg Trousers,Adults,M,Knit/Poly Blend,Mid-Range,Bottom wear,"Knit/Woven, Wide Leg, Striped",female,"Black, White",N/A,"casual, seasonal, vacation, party","pear, hourglass, rectangle","oval, round, square","fair, olive",neutral
APRL_043,Women's Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_043/image_1.jpg,Straight-Leg Trousers,Adults,M,Cotton/Poly Blend,Mid-Range,Bottom wear,"Woven, Smooth, Matte",female,Dark Grey,N/A,"business, casual, formal, seasonal","hourglass, rectangle, pear","oval, round, square","Fair, Dark",Cool
APRL_044,Men's Chinos,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_044/image_1.jpg,Straight-Leg Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Woven, Smooth, Matte",male,Black,N/A,"casual, business, seasonal, vacation","rectangle, inverted triangle, oval","oval, square, round","dark, light",neutral
APRL_045,Women's Palazzo Pants,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_045/image_1.jpg,Palazzo Pants,Adults,M,Viscose Blend,Mid-Range,Bottom wear,"Smooth, Flowy, Wide Leg, Drawstring",female,Pink,N/A,"casual, seasonal, vacation, party","rectangle, pear, inverted triangle","oval, round, heart","fair, tan",neutral
APRL_046,Women's Palazzo Pants,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_046/image_1.jpg,Palazzo Pants,Adults,M,Linen Blend,Mid-Range,Bottom wear,"Textured, Wide Leg, Pleated front",female,Beige/Khaki,N/A,"casual, seasonal, vacation, business","pear, rectangle, inverted triangle","oval, round, square","tan, fair",warm
APRL_047,Women's Wide Leg Jeans,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_047/image_1.jpg,Palazzo Pants,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Smooth, Wide Leg, Elastic waist",female,Blue,N/A,"casual, seasonal, vacation, party","pear, rectangle, inverted triangle","oval, round, square","dark, light",neutral
APRL_048,Women's Pencil Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_048/image_1.jpg,Pencil Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Fitted, Knee-length",female,Black,N/A,"business, formal, party, seasonal","hourglass, rectangle, pear","oval, round","tan, fair",neutral
APRL_049,Women's Pencil Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_049/image_1.jpg,Pencil Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Fitted, Knee-length",female,Black,N/A,"business, formal, party, seasonal","hourglass, pear, rectangle","oval, round, square","fair, dark",neutral
APRL_050,Women's Mini Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_050/image_1.jpg,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Houndstooth pattern, Woven, Mini",female,"Black, White",N/A,"casual, party, seasonal","hourglass, pear, rectangle","oval, heart, square","fair, olive",neutral
APRL_051,Women's Denim Mini Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_051/image_1.jpg,Mini Skirt,Adults,XL,Denim,Mid-Range,Bottom wear,"Denim, Fitted, Mini",female,Dark Blue,N/A,"casual, seasonal, vacation","hourglass, pear, rectangle","oval, round, square","fair, olive",neutral
APRL_052,Women's Denim Midi Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_052/image_1.jpg,Mini Skirt,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Button front, Midi",female,Light Blue,N/A,"casual, seasonal, vacation","pear, hourglass, apple","oval, round, heart","fair, olive",cool
APRL_053,Women's Mini Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_053/image_1.jpg,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Mini",female,Pink,N/A,"casual, party, seasonal, vacation","hourglass, pear, rectangle","oval, round, heart","dark, fair",neutral
APRL_054,Women's Pleated Mini Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_054/image_1.jpg,Mini Skirt,Adults,M,Poly Blend,Mid-Range,Bottom wear,"Pleated, Matte, Mini",female,Navy Blue,N/A,"casual, party, seasonal, vacation","pear, rectangle, hourglass","oval, round, heart","fair, olive",cool
APRL_055,Women's Satin Mini Skort,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_055/image_1.jpg,Mini Skirt,Adults,M,Satin/Silk Blend,Mid-Range,Bottom wear,"Shiny, Smooth, Wrap-style, Mini",female,Black,N/A,"party, casual, seasonal","hourglass, pear, rectangle","oval, round, square","fair, tan",neutral
APRL_056,Women's Denim Mini Skirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_056/image_1.jpg,Mini Skirt,Adults,M,Denim,Mid-Range,Bottom wear,"Denim, Fitted, Mini",female,Light Blue,N/A,"casual, seasonal, vacation","rectangle, hourglass, pear","oval, round, square","fair, tan",neutral
APRL_057,Women's Ribbed Mini Skort,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_057/image_1.jpg,Mini Skirt,Adults,XL,Ribbed Knit/Woven,Mid-Range,Bottom wear,"Ribbed texture, Wrap-style, Mini",female,Black,N/A,"casual, party, seasonal, vacation","hourglass, pear, rectangle","oval, round, square","tan, light",warm
APRL_058,Men's Joggers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_058/image_1.jpg,Joggers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Matte, Smooth, Elasticated waistband, Cuffed",male,Beige/Cream,N/A,"casual, seasonal, vacation","rectangle, apple, pear","oval, round, square","dark, light",neutral
APRL_059,Kids' Joggers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_059/image_1.jpg,Joggers,Kids,M,Poly Blend,Mid-Range,Bottom wear,"Knit, Printed graphic, Elasticated waistband, Cuffed",Unisex,"Red, Pink/Orange",N/A,"casual, seasonal, vacation","rectangle, apple, pear","oval, round, square","fair, dark",neutral
APRL_060,Men's Joggers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_060/image_1.jpg,Joggers,Adults,L,Poly Blend,Mid-Range,Bottom wear,"Smooth, Matte, Drawstring, Cuffed",male,Black,N/A,"casual, seasonal, vacation, party","rectangle, pear, apple","oval, round","Tan, Fair",Neutral
APRL_061,Women's Cargo Joggers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_061/image_1.jpg,Joggers,Adults,M,Denim/Cotton Blend,Mid-Range,Bottom wear,"Denim/Woven, Matte, Elasticated waistband, Cuffed, Pockets",female,Blue,N/A,"casual, seasonal, vacation","rectangle, apple, pear","oval, round, square","Tan, Light",Neutral
APRL_062,Men's Sports Shorts,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_062/image_1.jpg,Shorts,Adults,L,Poly Blend,Low-Range,Bottom wear,"Smooth, Striped detail, Elasticated waistband",male,"Black, White",N/A,"casual, seasonal, vacation","rectangle, inverted triangle, pear","oval, round, square","tan, olive",neutral
APRL_063,Men's Cargo Shorts,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_063/image_1.jpg,Shorts,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Knit/Woven, Pockets, Drawstring, Elasticated waistband",male,Blue,N/A,"casual, seasonal, vacation","rectangle, inverted triangle, apple","oval, round, square","Dark, Fair",neutral
APRL_064,Women's Casual Shorts,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_064/image_1.jpg,Shorts,Adults,M,Cotton Blend,Low-Range,Bottom wear,"Textured/Woven, Elasticated waistband, Drawstring",female,Purple/Lavender,N/A,"casual, seasonal, vacation","pear, rectangle, hourglass","oval, round, heart","Fair, Light",Cool
APRL_065,Men's Casual Shorts,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_065/image_1.jpg,Shorts,Adults,L,Cotton Blend,Low-Range,Bottom wear,"Smooth, Matte, Elasticated waistband",male,Khaki/Green,N/A,"casual, seasonal, vacation","rectangle,Inverted Triangle,pear","oval,round,square","Tan,Olive",Warm
APRL_066,Women's Printed Midi Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_066/image_1.jpg,A-Line Dress,Adults,M,Viscose Blend,Mid-Range,"Top wear, Bottom wear","Printed, Tiered skirt, Gathered waist, Flowy",female,"Multicolored (Navy, Red, Pink, Brown, Blue, Green)",3/4 sleeves,"casual, seasonal, vacation, party","pear, rectangle, apple","oval, round, heart","Fair, Olive",Neutral
APRL_067,Women's Button-Front Midi Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_067/image_1.jpg,A-Line Dress,Adults,M,Linen Blend,Mid-Range,"Top wear, Bottom wear","Textured/Woven, Button front, A-line skirt",female,Rust/Terracotta,Sleeveless,"casual, seasonal, vacation","oval, round, square","pear, apple, hourglass","Tan, Olive",Warm
APRL_068,Women's Printed Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_068/image_1.jpg,A-Line Dress,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Printed, Tiered skirt, Belted waist",female,"Blue, White (Printed)",3/4 sleeves,"casual, seasonal, vacation, party","pear, hourglass, rectangle","oval, round, heart","fair, tan",cool
APRL_069,Women's Embroidered Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_069/image_1.jpg,A-Line Dress,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Embroidered, square neck, Knee-length",female,"Black, Multicolored Embroidery",Elbow sleeves,"casual, seasonal, party","pear, apple, rectangle","oval, round, heart","Fair, Olive",Neutral
