filename,data
img_1511.jpg,APRL_001,Kaftan Abaya,"Contemporary, Modest Fashion",N/A,Adults,Free Size,Polyester Blend,Mid-Range,Full garment,"Smooth fabric, Flowy, Draped",Female,"Black, Grey","Full sleeves, Batwing","Casual, Religious, Formal, Special Occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_1512.jpg,APRL_001,Men's Oversized T-shirt,"product shot, model wearing",N/A,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Plain",Male,Black,Half sleeves,"casual, everyday, loungewear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1513.jpg,APRL_001,Women's Embroidered Kurta Set with Dupatta,traditional,,Adults,L,Cotton Blend,Mid-Range,"Ethnic set (Kurta, Pants, Dupatta)","Smooth fabric, Embroidery, Tie-dye dupatta",Female,"Purple, White",Three-quarter sleeves,"casual, festive, semi-formal","rectangle, hourglass, pear, inverted triangle","oval, round, square, heart","fair, light, tan, olive","neutral, cool"
img_1514.jpg,APRL_001,Women's Embroidered Palazzo Salwar Suit,main image,,Adults,L,Synthetic Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery, Mirror work",Female,"Light Green, Multi-color print",Full sleeves,"casual, party, festive, semi-formal","hourglass, pear, apple, rectangle","oval, round, heart, diamond","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_1515.jpg,APRL_003,Embroidered Patiala Suit,original,not available,Adults,M,Silk Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidered, Floral print",Female,"Navy Blue, Light Blue, Gold",Full sleeves,"festive, wedding, party, formal","pear, rectangle, hourglass","oval, round, heart","fair, light, tan, olive","cool, neutral"
img_1516.jpg,APRL_003,Women's Embroidered Anarkali Suit,"traditional, ethnic, party, formal",provided_image,Adults,N/A,"Net, Georgette","Mid-Range, High-Range",Ethnic Suit,"Sheer fabric, Embroidery, Flowy",Female,"Light Blue, White, Coral",Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1517.jpg,APRL_001,Embroidered Anarkali Gown Suit,traditional,Adults,N/A,Faux Georgette,High-Range,Full Suit,"Smooth fabric, Intricate embroidery, Layered, Flowy",Female,Lavender Purple,"Full sleeves, Bell sleeves","Festive, Party, Wedding, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1518.jpg,APRL_001,Embellished Kaftan Dress,full_shot_royal_blue_kaftan_dress,https://example.com/royal_blue_kaftan.jpg,Adults,Free size,Chiffon,Mid-Range,Dress,"Smooth, Flowing, Embellished, Beaded",Female,Royal Blue,"Batwing sleeves, Full length","Party, Wedding, Formal, Festive, Traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1519.jpg,APRL_001,Women's Embellished Kaftan Dress,traditional,N/A,Adults,"Free Size, L","Chiffon, Georgette","Mid-Range, High-Range",Full-length dress,"Smooth fabric, Beaded, Embroidered",Female,Yellow,"Batwing sleeves, Full length sleeves","party, wedding, festive, evening wear, special occasion","rectangle, apple, pear, hourglass, inverted triangle","oval, round, rectangular","dark, tan, olive, fair, light","warm, neutral"
img_1520.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,Free size,Georgette,Mid-Range,Dress,"Smooth fabric, Intricate embroidery, Flowing",Female,"Green, White, Gold","Full sleeves, Flared sleeves","party, wedding, festive, formal, evening","hourglass, pear, rectangle, apple","oval, round, heart","tan, olive, fair, light","warm, neutral, cool"
img_1521.jpg,APRL_001,Women's Abaya Dress,original image,N/A,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Puffed sleeves, Belted waist",Female,Black,Puffed Full sleeves,"casual, formal, daily wear, religious events, party","hourglass, pear, rectangle","oval, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1522.jpg,APRL_001,Sharara Suit,,,"Adult",Standard,Georgette,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery",Female,Purple,Full sleeves,"wedding, party, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_1524.jpg,APRL_001,Men's Kurta,original_image,N/A,Adult,L,Cotton Blend,Mid-Range,Top wear,"Subtle woven pattern, Smooth fabric",Male,Light Green,Full sleeves,"Casual, Festive, Semi-Formal, Wedding","rectangle, inverted triangle, apple","oval, square","tan, olive, light","neutral, warm"
img_1525.jpg,APRL_001,Women's Collared Abaya Dress,"Full body image, Upper body crop, Lower body crop",N/A,Adults,L,Polyester Blend,Mid-Range,Dress/Abaya,Smooth fabric,Female,"Navy Blue (dress), Grey (hijab)",Full sleeves,"everyday, casual, formal, festive, religious","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1526.jpg,APRL_001,Men's Plaid Flannel Shirt,Casual,Checked,,Adults,Plus-size,Cotton Blend,Mid-Range,Top wear,"Plaid, Smooth fabric",Male,"Black, Grey, White, Red",Full sleeves (rolled),"casual, everyday","rectangle, apple","oval, round","tan, olive",warm
img_1527.jpg,APRL_001,Women's Floral Printed Kurta Set with Dupatta,Full shot of model wearing floral printed kurta set with dupatta,,Adults,M,Cotton Blend,Mid-Range,Kurta Set,"Smooth fabric, Floral print, Striped pattern (pants), Embroidery (neckline)",Female,"Off-white, Beige, Brown, Peach",3/4 sleeves,"casual, festive, party, everyday","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_1528.jpg,APRL_001,Kaftan Dress,traditional,,Adults,Free size,Chiffon,Mid-Range,Dress,"Smooth fabric, Intricate embroidery/beadwork",Female,Fuchsia,Batwing sleeves,"party, festive, wedding, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, dark, ebony, fair, light","cool, neutral"
img_1529.jpg,APRL_003,Women's Embroidered Patiala Suit,traditional,,Adults,M,Georgette Blend,Mid-Range,Suit (Top wear, Bottom wear),"Smooth fabric, Embroidery, Mirror work",Female,Maroon,Full sleeves,"casual, party, wedding, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1530.jpg,APRL_001,Embroidered Anarkali Suit,traditional,Adults,L,"Embroidered Net, Georgette",Mid-Range,Top wear,"Sheer, Embroidered, Flowing",Female,Mint Green,Full sleeves,"festive, wedding, party, formal","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart","tan, olive, fair, light","cool, neutral"
img_1531.jpg,APRL_001,Embroidered Anarkali Suit Set,traditional,Adults,M,Georgette Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery",Female,Olive Green,"Bell Sleeves, Full sleeves","casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1532.jpg,APRL_001,Embellished Kaftan Dress,red_kaftan_dress,N/A,Adults,Free Size,Chiffon,Mid-Range,Full Dress,"Flowy, Sheer, Embellished, Smooth",Female,"Red, Gold","Full sleeves, Cape style","formal, party, festive, wedding guest, evening wear, Eid","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1533.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,Free size,Chiffon,Mid-Range,Dress,"Smooth fabric, Heavy embroidery, Beaded embellishments",Female,Coral Orange,Long Batwing sleeves,"Party, Wedding, Festive, Evening wear, Special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark","warm, neutral"
img_1534.jpg,APRL_001,Moroccan Kaftan,traditional,,Adults,M,Velvet Blend,High-End,Full length dress,"Smooth fabric, Intricate embroidery, Embellished",Female,"Red, Gold",Full sleeves,"Formal, Party, Wedding, Festive, Cultural events","hourglass, pear, rectangle, inverted triangle","oval, round, heart, diamond","fair, light, tan, olive, dark","warm, neutral"
img_1535.jpg,APRL_003,Women's Embroidered Abaya,ethnic, traditional,,Adults,L,Polyester Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Female,"Black, Red, Navy",Full sleeves,"casual, formal, religious, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1536.jpg,APRL_001,Women's Palazzo Suit Set,"ethnic, traditional",Adult,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery, Embellishment",Female,Dark Brown,"Full sleeves, Flared cuff","casual, party, festive, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive","warm, neutral, cool"
img_1537.jpg,APRL_001,Women's Abaya with Hijab,abaya_navy_full_length,Not available,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Flowing",Female,"Navy Blue, Grey",Full sleeves,"casual, daily wear, religious events, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_1538.jpg,APRL_003,Printed Men's Kurta Set,full image, crops,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed",Male,"Pink, White, Cream",Full sleeves,"casual, festive, semi-formal","rectangle, inverted triangle, apple","oval, round, square","fair, light, tan, olive, dark","warm, neutral"
img_1539.jpg,APRL_001,Women's Abaya Dress with Belt,abaya, modest wear, full length dress,N/A,Adults,L,Polyester Blend,Mid-Range,Full dress,"Smooth fabric, Flowy, Puffy sleeves",Female,"Taupe, Black (hijab), Gold (embroidery)",Full sleeves, Puffed sleeves,"casual, formal, modest events, religious events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","fair, light, tan, olive","neutral, warm"
img_1540.jpg,APRL_003,Men's Casual Shirt,casual,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric",Male,Grey,Short sleeves,"casual, everyday","rectangle, inverted triangle, apple","oval, round, square, rectangular","fair, light, tan, olive, dark, ebony","neutral, cool, warm"
img_1541.jpg,APRL_001,Women's Printed Kurta Set with Dupatta,full shot,,"Adults","N/A",Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Floral print, Embroidered neckline",Female,"Light Pink, Lavender",Three-quarter sleeves,"casual, festive, party, daily wear","rectangle, hourglass, pear, apple","oval, round, square, heart","fair, light, tan, olive","neutral, warm"
img_1542.jpg,APRL_003,Punjabi Suit Set,traditional,,Adults,L,Silk Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidered, Floral print",Female,"Deep Purple, Light Pink",Full sleeves,"party, wedding, festive, formal","hourglass, pear, rectangle, apple","oval, round, square, rectangular","tan, olive, fair, light, dark",neutral
img_1543.jpg,APRL_001,Embroidered Salwar Suit with Dupatta,"traditional, ethnic, festive",,Adults,M,Rayon Blend,"Mid-Range, High-Range","Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate embroidery, Mirror work, Tasselled",Female,"Purple, Multi-color",Full sleeves,"Festive, Casual, Party, Wedding (less formal), Ethnic events","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1544.jpg,APRL_001,Women's Embroidered Anarkali Suit Set,traditional,,Adults,Regular Fit,"Embroidered Net, Shantoon lining",Mid-Range,"Top wear, Bottom wear","Embroidered, Sheer, Flowy",Female,"Lime Green, White, Pink",Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_1545.jpg,APRL_001,Sharara Suit,traditional,Adults,M,Georgette,Mid-Range,Top wear,"Smooth fabric, Embroidery, Sequin work",Female,Lime Green,Sleeveless,"Party, Wedding, Festive, Casual (dressy)","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart","fair, light, olive, tan, dark, ebony","cool, neutral"
img_1546.jpg,APRL_001,Kaftan Dress,traditional,N/A,Adults,L,Chiffon,Mid-Range,Dress,"Smooth fabric, Embellishments",Female,Blue,"Full sleeves, Batwing","casual, party, festive, evening, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
img_1547.jpg,APRL_001,Embellished Kaftan Dress,Embellished, Traditional Caftan Style,Adults,"Free size, XL",Chiffon,Mid-Range,Full-length dress,"Smooth fabric, Beaded, Embroidered",Female,"Yellow, Multi-color","Full sleeves, Batwing sleeves","Party, Festive, Wedding, Special Occasion, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, fair, light","warm, neutral"
img_1548.jpg,APRL_001,Embroidered Kaftan Dress,traditional,provided_image_url,Adults,M,Georgette Blend,Mid-Range,Dress,"Smooth fabric, heavy embroidery, embellished",Female,"Emerald Green, Gold embroidery",Full sleeves,"party, wedding, festive, formal, evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1549.jpg,APRL_003,Designer Anarkali Suit,image_of_woman_in_traditional_dress,Provided Image,Adult,M,"Faux Georgette, Silk Blend",Mid-Range,Full Ensemble,"Embroidered, Smooth, Printed",Female,"Dark Brown, Multi-color accents","Full sleeves, Sheer","Wedding, Party, Festive, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, rectangular, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1550.jpg,APRL_001,Women's Abaya,traditional,,Adults,L,Crepe,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,Navy Blue,Full sleeves,"casual, formal, religious, party, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","ebony, dark, tan, olive, fair, light","cool, neutral"
img_1551.jpg,APRL_001,Women's Abaya,Contemporary Abaya, Embroidered,N/A,Adults,Regular,Crepe,Mid-Range,Full-body wear,"Smooth fabric, Embroidery",Female,"Taupe, Black",Full sleeves,"casual, formal, religious, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1552.jpg,APRL_003,Mens Kurta,model shot,Adults,M,Cotton Blend,Mid-Range,Top wear,"Textured fabric, Chikankari embroidery, Mirror embellishments",Male,Black,Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple","oval, round, square, rectangular","dark, olive, fair, light","neutral, warm, cool"
img_1553.jpg,APRL_001,Leopard Print Maxi Dress,Printed Maxi Dress,original image,Adults,Free Size,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Flowy, Printed",Female,"Blue, Black","Full sleeves, Flared sleeves","casual, party, seasonal, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1555.jpg,APRL_003,Women's Embroidered Kurta Set with Dupatta,traditional,N/A,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidered, Printed",Female,Teal Blue,3/4 sleeves,"casual, festive, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1556.jpg,APRL_001,Women's Patiala Suit,traditional,Adults,M,Velvet Blend,Mid-Range,Full Suit,"Smooth fabric, Embroidery, Floral Print",Female,"Black, Gold, Grey, Pink",Full sleeves,"party, wedding, festive, formal","hourglass, pear, rectangle, inverted triangle","oval, round, square","fair, light, tan, olive","warm, neutral, cool"
img_1557.jpg,APRL_001,Women's Printed Anarkali Suit,traditional,,Adults,M,Cotton Blend,Mid-Range,Full ensemble,"Smooth fabric, Intricate print",Female,"Black, Multi-color",Full sleeves,"casual, party, wedding, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1558.jpg,APRL_001,Anarkali Gown Set,traditional,N/A,Adults,M,Georgette,Mid-Range,Gown,"Smooth fabric, Flowy, Golden border",Female,Black,Full sleeves,"casual, party, festive, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1559.jpg,APRL_003,Embroidered Anarkali Palazzo Suit,ethnic,N/A,Adults,"S, M, L, XL",Georgette Blend,Mid-Range,"Suit set (Top wear & Bottom wear)","Smooth fabric, Intricate embroidery, Ruffles",Female,Teal,"Full sleeves, Bell sleeves","Casual, Party, Festive, Wedding, Formal, Seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_1560.jpg,APRL_001,Women's Embellished Kaftan Dress,traditional,,Adults,Free Size,Chiffon,Mid-Range,Dress,"Smooth fabric, Embellishment, Beaded, Embroidery",Female,Hot Pink,"Full sleeves, Kaftan style","party, wedding, festive, special occasion","apple, rectangle, pear, inverted triangle","oval, round, square","fair, light, tan, olive","cool, neutral"
img_1561.jpg,APRL_001,Moroccan Kaftan,traditional,N/A,Adults,L,Georgette Blend,Mid-Range,Full length dress,"Smooth fabric, Intricate embroidery, Beaded embellishment",Female,Red,Full sleeves,"wedding, party, formal, festive, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","fair, light, tan, olive, dark",warm,neutral
img_1562.jpg,APRL_001,Embroidered Kaftan Dress,traditional,N/A,Adults,L,Satin,Mid-Range,Top wear,"Smooth, Shiny, Embroidered",Female,"Teal, Pink, Purple","Bell sleeves, Three-quarter sleeves","party, wedding, formal, festive, traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","warm, neutral"
img_1563.jpg,APRL_001,Women's Anarkali Gown Suit,traditional,,Adults,L,Georgette Blend,Mid-Range,"Top wear, Bottom wear","Flowy fabric, Embroidered, Embellished",Female,Mauve Brown,Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, dark, fair, light, ebony","neutral, warm, cool"
img_1564.jpg,APRL_001,Women's Abaya,full_body_shot,https://i.stack.imgur.com/uXmRz.jpg,Adults,L,Polyester Blend,Mid-Range,Full-body wear,"Smooth fabric, Flowing",Female,Maroon,Full sleeves,"casual, everyday, formal, religious gatherings","rectangle, pear, apple, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark, ebony","neutral, cool, warm"
img_1565.jpg,APRL_003,Embroidered Abaya,abaya,long dress,modest fashion,embroidered,hijab,,Adults,Regular,Georgette Blend,Mid-Range,Full length garment,"Smooth fabric, Embroidery",Female,Maroon,Full sleeves,"casual, formal, party, seasonal, religious occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1566.jpg,APRL_001,Mens Kurta Set,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear, Bottom wear,"Printed fabric, Smooth",Male,"Green, Off-white",Full sleeves,"casual, festive, party, wedding","pear, apple, inverted triangle, rectangle","oval, round, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1567.jpg,APRL_001,Women's Abaya Dress,traditional,"",Adults,Free Size,Polyester Blend,Mid-Range,Full length dress,"Smooth fabric, Puffy sleeves, Tie-waist",Female,Plum,Puff sleeves,"casual, formal, party, religious","hourglass, pear, rectangle, inverted triangle, apple","oval, round, square, heart, rectangular","fair, light, tan, olive, dark, ebony","cool, neutral, warm"
img_1568.jpg,APRL_001,Women's Embroidered Kurta Set with Dupatta,ethnic,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidered, Printed",Female,Maroon,3/4th sleeves,"casual, festive, party, semi-formal, wedding","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1569.jpg,APRL_001,Women's Embroidered Dhoti Suit Set,main,,Adults,L,Art Silk Blend, Net,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate gold embroidery, Sheer net with embroidery",Female,"Navy Blue, Gold",Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1570.jpg,APRL_001,Women's Printed Kurta Set,traditional,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed pattern",Female,"Maroon, Peach, White",Three-quarter sleeves,"casual, festive, party, ethnic events","rectangle, pear, hourglass, apple","oval, round, square","tan, olive, fair, light","warm, neutral"
img_1571.jpg,APRL_001,Women's Anarkali Suit,Ethnic wear,,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Female,Lavender,Full sleeves,"casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_1572.jpg,APRL_001,Women's Embroidered Peplum Kurta Set,Original Image,https://i.imgur.com/gK1N3s4.jpeg,Adults,Standard,Georgette Blend,Mid-Range,Top and Bottom Set,"Smooth fabric, Intricate Embroidery, Vertical Stitching/Patterns",Female,Mauve Purple,"Full sleeves, Flared Cuffs","festivals, parties, wedding (day events), semi-formal gatherings","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1573.jpg,APRL_001,Kaftan Dress,Embellished Kaftan,N/A,Adult,Free Size,Chiffon,High-Range,Full Garment,"Flowy, Sheer, Beaded, Embroidered",Female,Royal Blue,Long, Flowy Kaftan sleeves,"Formal, Party, Wedding, Traditional, Festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1574.jpg,APRL_003,Embellished Kaftan Gown,Ethnic,N/A,Adults,Free size,Chiffon,Mid-Range,Dress,"Smooth fabric, Embellishment",Female,Yellow,"Full sleeves, Flared sleeves","party, festive, wedding, formal","rectangle, apple, pear, inverted triangle","oval, round, square, heart","tan, olive, dark, ebony","warm, neutral"
img_1575.jpg,APRL_003,Embroidered Kaftan,traditional,N/A,Adults,Free size,Georgette Blend,High-Range,Dress/Gown,"Embroidered, Beaded, Flowy",Female,"Black, Gold",Full sleeves,"Party, Wedding, Formal, Festive, Evening","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_1576.jpg,APRL_003,Ethnic Lehenga Choli Set,traditional,Adults,M,Silk Blend,High-Range,"Top wear, Bottom wear, Dupatta","Woven, Brocade, Textured, Intricate patterns",Female,"Magenta, Purple, Navy Blue, Gold",Full sleeves,"wedding, festive, party, ceremonial, traditional","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart, rectangular","tan, olive, dark, fair, light","neutral, warm, cool"
