filename,data
img_1_1.jpg,APRL_001,Women's Kurta Set,traditional,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Woven pattern",Female,"Pink, White",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_1_2.jpg,APRL_001,Embellished Velvet Caftan Robe,traditional,Adults,L,Velvet,Mid-Range,Full wear,"Soft, Plush Velvet, Sparkling Embellishments",Female,Green,Full sleeves,"Party, Formal, Festive, Special Occasion","pear, apple, inverted triangle, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_39.jpg,APRL_001,Full-Length Abaya with Niqab,Full body shot,https://oaidalleapiprod.blob.core.windows.net/private/org-yKzY85b8H1hVvI5Q5g5W6JmJ/user-0Mh88xYlWl5QWvR3uN4D9yK3/img-c9qR16T269Y5rOq0iK2FvFQD.png?st=2024-06-03T20%3A23%3A10Z&se=2024-06-03T22%3A23%3A10Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&oid=27c00472-a162-43ce-9a84-07d0f419c968&sig=z9b3eI26rU%2B9B3pX0Q8bF6g1yJgM63TqYl0fVl7kX4I%3D,Adults,Free Size,Polyester Blend,Mid-Range,Full body wear,"Smooth, Flowy, Draped",Female,Black,Full sleeves,"Daily wear, Prayer, Religious occasions, Formal events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_43.jpg,APRL_003,Men's Djellaba/Thobe,original image,https://i.imgur.com/example_image_url.jpg,Adults,"Free size, L",Cotton Blend,Mid-Range,Full garment, Robe,"Smooth fabric, Embroidered neckline",Male,Blue-Grey,Three-quarter sleeves,"casual, religious, traditional, formal","rectangle, apple, pear, inverted triangle","oval, round, square, rectangular, heart","ebony, dark, tan, olive, fair, light","neutral, cool"
img_44.jpg,APRL_001,Geometric Print Kaftan Dress,geometric_print_kaftan_dress,Not provided,Adults,Loose Fit,Viscose,High-Range,Dress,"Smooth fabric, Flowy, Geometric print",Female,"Multi-color (Black, Cream, Pink, Green, Red, Lavender)",Wide Sleeves,"Casual, Resort wear, Party, Summer events","apple, rectangle, pear, inverted triangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_45.jpg,APRL_001,Men's Bandhgala Suit,N/A,N/A,Adults,N/A,Art Silk Blend,Mid-Range,Suit Set,"Textured, Smooth",Male,"Maroon, White",Full sleeves,"party, wedding, formal, traditional, festive","rectangle, inverted triangle","oval, round, square, rectangular","fair, light, olive, tan, dark","warm, neutral"
img_50.jpg,APRL_003,Women's Abaya Robe,modest fashion,,Adults,L,Polyester Blend,Mid-Range,Top wear,"Smooth fabric, Sheer, Embroidered, Striped",Female,Mauve,"Full sleeves, Sheer sleeves","casual, party, festive, formal, modest wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark, ebony","cool, neutral"
img_53.jpg,APRL_001,Floral Print Maxi Dress,"dress, floral print, long dress, midi dress, modest dress","original image, crop 1, crop 2, crop 3, crop 4",Adults,M,Cotton Blend,Mid-Range,Dress,"Smooth fabric, Floral print, Flowy",Female,"Green, Multicolored",Three-quarter sleeves,"Casual, Daily wear, Brunch, Spring, Autumn",hourglass, pear, rectangle, inverted triangle, apple,oval, round, square, heart, diamond, rectangular,ebony, dark, tan, olive, fair, light,warm, neutral, cool
img_59.jpg,APRL_001,Red Embellished Strapless Gown,original,original,Adults,M,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery, Beadwork",Female,Red,Strapless,"Party, Festive, Wedding, Formal","hourglass, rectangle, inverted triangle","oval, round, heart, diamond","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_62.jpg,APRL_001,Embellished Kaftan Dress,Kaftan Dress,Provided_Image_URL,Adults,L,Georgette,Mid-Range,Full-length dress,"Smooth fabric, Intricate embroidery, Embellished, Flowy",Female,"Coral, White, Gold (embroidery)",Full sleeves,"Festive, Wedding, Party, Formal, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_63.jpg,APRL_003,Women's Blue Denim Jeggings,casual,N/A,Adults,"S,M,L,XL","Stretch Denim, Cotton Blend",Mid-Range,Bottom wear,"Smooth fabric, Denim texture, Stretchy",Female,Blue,N/A,"casual, daily wear, college, travel","hourglass, pear, apple, inverted triangle, rectangle",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_65.jpg,APRL_001,Mens Kurta with Nehru Jacket,traditional,,Adults,L,Silk Blend,Mid-Range,Top wear,"Textured (jacket), Smooth (kurta), Embroidery (sleeves)",Male,"Orange, Black",Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light","warm, neutral"
img_66.jpg,APRL_001,Embroidered Maxi Dress,traditional,original_image.jpg,Adults,XL,"Polyester blend, Lace, Embroidery",Mid-Range,Dress,"Embroidered, Sheer, Chevron pattern, Tasseled",Female,"White, Gold",Full sleeves,"Festive, Party, Wedding, Special occasion, Casual","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_67.jpg,APRL_001,Printed Maxi Skirt,"original image, cropped images",N/A,Adults,Varies,Cotton,Mid-Range,Bottom wear,"Smooth fabric, Ethnic print",Female,"Maroon with Off-white print",N/A,"casual, festive, ethnic, daily wear","hourglass, pear, apple, inverted triangle, rectangle",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_72.jpg,APRL_001,Men's White Ribbed Knit T-shirt,cropped main image,N/A,Adult,M,Ribbed Knit,Mid-Range,Top wear,"Ribbed, Textured",Male,White,Short sleeves,"casual, everyday, relaxed, summer","rectangle, inverted triangle","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,Men's Light Grey Chinos,cropped main image,N/A,Adult,M,Cotton Blend,Mid-Range,Bottom wear,Smooth fabric,Male,"Light Grey, Khaki",N/A,"casual, smart casual, everyday, office, travel","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_003,Men's Blue and Grey Athletic Sneakers,cropped main image,N/A,Adult,9-11 US,Mesh Synthetic Rubber,Mid-Range,Footwear,"Mesh, Smooth, Textured sole",Male,"Blue, Grey, White, Black",N/A,"casual, everyday, athleisure, travel, sports","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_73.jpg,APRL_001,Men's Thawb,traditional,https://example.com/men_thawb_light_grey.jpg,Adults,L,Polyester Blend,Mid-Range,Full-length robe,"Smooth fabric",Male,Light Grey,Short sleeves,"casual, religious, everyday, formal","pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","warm, neutral, cool"
img_75.jpg,APRL_003,Men's Bandhgala Jacket and Trousers,original,N/A,Adults,L,Blended Fabric,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Abstract printed pattern",Male,"Multi-color, Black",Full sleeves,"party, wedding, festive, semi-formal","rectangle, inverted triangle, apple","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral, cool"
img_78.jpg,APRL_003,Men's Thobe,Full image,https://raw.githubusercontent.com/faviayadav/Images/main/men's%20apparel%20data/1.jpg,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Male,Teal Blue,Full sleeves,"casual, religious, cultural events, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_83.jpg,APRL_001,Polka Dot Maxi Dress,main_image,N/A,Adults,Not specified,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Polka dot print, Ruffled hem",Female,"Brown, White",Full sleeves,"Casual, Daily wear, Seasonal, Modest wear","rectangle, pear, apple, hourglass","oval, round, square, heart","fair, light, tan, olive, dark, ebony","warm, neutral"
img_89.jpg,APRL_001,Embroidered Strapless Gown,white_embroidered_strapless_gown.jpg,N/A,Adults,M,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Embroidery, Beaded",Female,"White, Gold, Silver",Strapless,"Party, Wedding, Formal, Evening","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_92.jpg,APRL_001,Thermal Fleece Lined Tights,packaging_image,N/A,Adults,Not specified,"Fleece Lined, Synthetic Blend",Mid-Range,Bottom wear,"Smooth outer, soft fleece lining",Female,Black,N/A,"Casual, Winter wear, Everyday, Cold weather","hourglass, pear, apple, inverted triangle, rectangle",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_94.jpg,APRL_001,Men's Kurta Set with Nehru Jacket,traditional,,Adults,L,Silk Blend,Mid-Range,Top wear,"Slightly textured, smooth finish",Male,"Red, Navy Blue",Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple, hourglass","oval, round, square, rectangular","dark, olive, tan, fair, light","warm, neutral"
img_96.jpg,APRL_001,Women's Printed Anarkali Kurta Set with Dupatta,main_image,,Adults,L,Cotton Blend,Mid-Range,Kurta Set,"Smooth fabric, Floral Print, Paisley Print, Printed Dupatta, Border work",Female,"Navy Blue, Red, Green, Pink, Maroon",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_97.jpg,APRL_003,Women's Abaya,original,N/A,Adults,L,Polyester Blend,Mid-Range,Outerwear/Dress,"Smooth fabric, Lace trim",Female,"Black, Brown","Full sleeves, Flared cuffs","casual, formal, religious, party","rectangle, apple, pear, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_98.jpg,APRL_001,Embellished Maxi Gown,"Full image, inset of back detail",,Adults,L,"Georgette, Embellished",Mid-Range,Gown,"Smooth fabric, Flowy, Embellished, Mirror work, Beading",Female,"Black, Gold",Cap sleeves,"Formal, Party, Wedding, Festive, Evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_100.jpg,APRL_001,Women's Anarkali Frock Suit,main image,,Adults,All Sizes,Faux Georgette,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Printed",Female,"Beige, Multi-color",Full sleeves,"casual, party, wedding, festive, formal, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_101.jpg,APRL_001,Men's Pinstripe Trousers,fashion,N/A,Adults,N/A,Cotton Blend,Mid-Range,Bottom wear,"Pinstripe, Smooth",Male,Beige,N/A,"casual, semi-formal, daily","rectangle, pear, apple, inverted triangle, hourglass",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_103.jpg,APRL_001,Men's Printed Jodhpuri Suit Set,Indo-Western,,Adults,L,Art Silk Blend,Mid-Range,"Top wear, Bottom wear","Printed, Smooth fabric, Intricate pattern",Male,"Multi-color (Jacket), Black (Pants)",Full sleeves,"festive, wedding, party, formal","rectangle, inverted triangle, apple, pear","oval, round, square, heart","tan, olive, fair, light, dark","warm, neutral, cool"
img_105.jpg,APRL_001,Men's Casual Short Sleeve Shirt,Casual,,Adults,M,Cotton Blend,Mid-Range,Top wear,Smooth fabric,Male,Light Beige,Short sleeves,"casual, daily wear, summer, outdoor","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral, cool"
img_106.jpg,APRL_001,Men's Long Kurta,studio shot,,Adults,L,Cotton Blend,Mid-Range,Top wear,Smooth fabric,Male,Charcoal Grey,Full sleeves,"casual, seasonal, lounge wear","rectangle, apple, inverted triangle","oval, round, square","light, fair, dark, olive","neutral, cool"
img_109.jpg,APRL_001,Women's Printed Kurti with Striped Pants and Dupatta Set,traditional,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Printed, Smooth fabric, Striped",Female,"Pink, Cream, Yellow, White",Three-quarter sleeves,"casual, festive, daily wear","hourglass, pear, apple, rectangle","oval, round, square","tan, olive, fair, light","warm, neutral, cool"
img_111.jpg,APRL_001,Red Embroidered Anarkali Style Suit with Dhoti Pants and Net Dupatta,Full Look, Model Shot,,Adults,L,"Velvet Blend, Net",Mid-High Range,"Top wear, Bottom wear","Smooth fabric, Heavy embroidery, Embellished net",Female,"Red, Gold",Full sleeves,"party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_115.jpg,APRL_001,Embellished Kaftan/Abaya,"Full Shot, Close-ups",,Adults,Free Size,Chiffon Blend,High-Range,Dress/Gown,"Smooth fabric, intricate beading/embroidery",Female,"Emerald Green, Gold",Full sleeves,"Formal, Party, Wedding, Festive, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_116.jpg,APRL_001,Embellished Strapless Gown,formal,Adults,M,Georgette Blend,"Mid-Range, High-Range",Dress,"Smooth fabric, Embroidery",Female,Royal Blue,Strapless,"party, wedding, formal, gala","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_117.jpg,APRL_001,Women's Embroidered Kaftan Abaya,traditional,,Adults,Free Size,Chiffon Blend,Mid-Range,Full wear,"Smooth, Flowy, Intricate embroidery",Female,"Black, Beige/Gold embroidery","Full sleeves, Batwing","Formal, Festive, Evening, Cultural, Religious","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_118.jpg,APRL_003,Women's Embroidered Kaftan,traditional,,Adults,L,Georgette Blend,Mid-Range,Full-length dress,"Smooth fabric, Intricate embroidery",Female,"Turquoise, Gold",Full sleeves,"party, wedding, formal, festive, traditional","hourglass, pear, apple, rectangle","oval, round, heart","tan, olive, fair, light","warm, neutral, cool"
img_119.jpg,APRL_001,Sleeveless Vest Top,modern, formal, chic,N/A,Adults,N/A,Polyester Blend,Mid-Range,Top wear,"Smooth fabric, Structured, Buttoned",Female,Black,Sleeveless,"casual, formal, business, party","rectangle, inverted triangle, hourglass","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_120.jpg,APRL_001,Kaftan Dress,traditional,,Adults,Free Size,Crepe,High-Range,Dress,"Smooth fabric, Embellishment, Embroidery",Female,"Pink, Silver",Full sleeves,"party, wedding, formal, festive, special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_121.jpg,APRL_001,Men's Kurta with Nehru Jacket,,,"Adult",L,"Silk Blend",Mid-Range,Top wear,"Textured fabric (jacket), Smooth fabric (kurta), Embroidered cuffs",Male,"Gold, Black","Full sleeves with embroidered cuffs","casual, party, wedding, festive, formal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_122.jpg,APRL_001,Women's Embroidered Tunic Top,traditional,,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Female,Magenta,3/4 sleeves,"casual, party, festive, ethnic","rectangle, hourglass, pear, apple","oval, round, heart","tan, olive, fair, light","cool, neutral"
img_123.jpg,APRL_001,Women's Abaya,white_abaya_full,https://example.com/white_abaya_full.jpg,Adults,Free size,Polyester Blend,Mid-Range,Full-length Dress,Smooth fabric,Female,White,Full sleeves,"casual, daily wear, formal, religious events, special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_124.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,L,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,"White, Black",3/4 sleeves,"casual, party, wedding, festive, formal","hourglass, pear, rectangle, apple","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_125.jpg,APRL_001,Embroidered Abaya Gown,traditional,,Adults,L,Polyester Blend,Mid-Range,Full-body wear,"Smooth fabric, Embroidery",Female,Black,Full sleeves,"casual, formal, festive, religious occasions","rectangle, pear, apple, inverted triangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_126.jpg,APRL_001,Embellished Lehenga Choli Set,traditional,,Adults,L,Net, Silk Blend, Sequins, Embroidery,High-End,Lehenga Choli Set,"Embroidered, Sequined, Sheer, Flowy",Female,"Off-white, Ivory, Multicolor (pastels)",Half sleeves,"Wedding, Engagement, Reception, Festive, Party",hourglass, pear, apple, inverted triangle, rectangle,oval, round, square, heart, diamond, rectangular,ebony, dark, tan, olive, fair, light,warm, neutral, cool
img_127.jpg,APRL_001,Men's Printed Regular Fit Chino Shorts,Product shot,,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Smooth fabric, Printed (nautical/map theme)",Male,"Off-white, Black",Not Applicable,"casual, summer, beach, vacation, day out","rectangle, inverted triangle, apple, pear","oval, round, square","fair, light, tan, olive, dark","warm, neutral, cool"
img_128.jpg,APRL_001,Mens Jodhpuri Suit,traditional,,Adults,L,Brocade Silk Blend,Mid-Range,Top wear,"Woven pattern, Geometric pattern, Smooth fabric",Male,"Brown, Black",Full sleeves,"wedding, party, formal, festive","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular, diamond","dark, tan, olive, fair, light","warm, neutral, cool"
img_129.jpg,APRL_003,Mens Kurta,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Black,Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_130.jpg,APRL_001,Men's Stand Collar Jacket,casual,casual outerwear,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Structured",Male,Black,Full sleeves,"casual, daily wear, outdoor, travel","rectangle, inverted triangle, apple","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_131.jpg,APRL_001,Men's Jubba,traditional,,Adults,L,Cotton Blend,Mid-Range,Full length garment,"Textured weave, Smooth fabric",Male,Olive Green,Full sleeves,"casual, religious, festive","rectangle, inverted triangle, apple, pear, hourglass","oval, rectangular, square","ebony, dark, tan, olive, fair, light","warm, neutral"
img_132.jpg,APRL_001,Embroidered Abaya,model shot,,Adults,M,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Black, White embroidery",Full sleeves,"casual, formal, festive, religious occasions","rectangle, pear, apple, inverted triangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_133.jpg,APRL_001,Women's Embroidered Three-Piece Suit,original,N/A,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery",Female,Maroon,Full sleeves,"casual, party, wedding, formal, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_134.jpg,APRL_001,Women's Printed Kurti & Palazzo Set,traditional,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed pattern, Ruffle details, Tassels",Female,"Off-white, Pink, Green",Three-quarter sleeves,"Casual, Festive, Day wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_135.jpg,APRL_001,Women's Patiala Suit,traditional,,Adults,L,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Mirror work, Embroidery",Female,"Black, Gold",Full sleeves,"Festive, Party, Wedding, Formal","hourglass, rectangle, inverted triangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_136.jpg,APRL_003,Embroidered Anarkali Gown,"ethnic wear, traditional",,Adults,M,Net with Embroidery,High-Range,Full length gown,"Intricate embroidery, flowy, sheer dupatta",Female,"Mauve, Pink, White (Embroidery)",Full sleeves,"Weddings, Engagements, Festive occasions, Parties, Formal events",hourglass, pear, apple, rectangle, inverted triangle,oval, round, square, heart,fair, light, tan, olive, dark, ebony,neutral, cool
img_137.jpg,APRL_001,Pink Sharara Suit,traditional,ethnic wear,N/A,Adults,Standard,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Embroidered, Ruffled, Smooth fabric",Female,Light Pink,Sleeveless,"casual, party, wedding, festive","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart","fair, light, tan, olive","warm, neutral, cool"
